protocol_name,link_failure_rate,random_seed,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
node_rule_bfs,0.05,42,1,8.480%,184.809,0.036530,0.049479,3.680%,0.000%
node_rule_bfs,0.05,42,2,8.600%,184.687,0.019043,0.032265,3.710%,0.000%
node_rule_bfs,0.05,42,3,8.400%,184.385,0.020950,0.033815,3.700%,0.000%
node_rule_bfs,0.05,42,4,8.720%,184.862,0.020909,0.035007,3.720%,0.000%
node_rule_bfs,0.05,42,5,8.330%,184.510,0.019975,0.033006,3.750%,0.000%
node_rule_bfs,0.05,42,6,8.430%,184.875,0.021360,0.035028,3.690%,0.000%
node_rule_bfs,0.05,42,7,7.140%,196.002,0.019894,0.035513,3.810%,0.000%
node_rule_bfs,0.05,42,8,8.500%,184.884,0.019433,0.034407,3.670%,0.000%
node_rule_bfs,0.05,42,9,8.690%,184.512,0.019710,0.033921,3.660%,0.000%
node_rule_bfs,0.05,42,10,6.860%,196.152,0.020273,0.034958,3.800%,0.000%
ospf,0.05,42,1,6.060%,117.647,0.015795,0.025185,0.000%,0.000%
ospf,0.05,42,2,3.520%,121.630,0.016399,0.026037,0.000%,0.000%
ospf,0.05,42,3,4.630%,123.023,0.016757,0.027685,0.000%,0.000%
ospf,0.05,42,4,10.140%,117.556,0.015599,0.026459,0.000%,0.000%
ospf,0.05,42,5,12.340%,116.936,0.014554,0.026215,0.000%,0.000%
ospf,0.05,42,6,7.100%,117.650,0.016020,0.026693,0.000%,0.000%
ospf,0.05,42,7,2.800%,117.231,0.016758,0.025445,0.000%,0.000%
ospf,0.05,42,8,5.320%,117.661,0.016748,0.026789,0.000%,0.000%
ospf,0.05,42,9,7.200%,117.850,0.018542,0.026531,0.000%,0.000%
ospf,0.05,42,10,8.810%,117.798,0.017711,0.025436,0.000%,0.000%
