lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
0,False,0.05,0.05,1,7.1%,110.7,0.206622,0.0,5.8%,0.0%
0,False,0.05,0.05,15,12.2%,106.5,0.188756,0.0,7.5%,0.0%
0,False,0.05,0.05,16,7.7%,108.5,0.175954,0.0,2.9%,0.0%
0,False,0.05,0.05,17,7.2%,110.8,0.163699,0.0,5.7%,0.0%
0,False,0.05,0.05,18,3.5%,105.2,0.16876,0.0,0.0%,0.0%
0,False,0.05,0.05,19,4.1%,108.5,0.194356,0.0,0.1%,0.0%
0,False,0.05,0.05,20,6.2%,107.6,0.207651,0.0,4.7%,0.0%
0,False,0.05,0.05,1,6.3%,109.8,0.148855,0.0,5.0%,0.0%
0,False,0.05,0.05,2,6.3%,109.8,0.134959,0.0,5.0%,0.0%
0,False,0.05,0.05,3,8.3%,107.7,0.152097,0.0,4.0%,0.0%
0,False,0.05,0.05,4,10.7%,110.2,0.126011,0.0,9.0%,0.0%
0,False,0.05,0.05,5,12.4%,106.4,0.142339,0.0,8.0%,0.0%
0,False,0.05,0.05,6,11.6%,110.0,0.131545,0.0,10.0%,0.0%
0,False,0.05,0.05,7,6.3%,107.7,0.123561,0.0,5.0%,0.0%
0,False,0.05,0.05,8,7.4%,110.9,0.14164,0.0,6.0%,0.0%
0,False,0.05,0.05,9,3.8%,105.5,0.125017,0.0,0.0%,0.0%
0,False,0.05,0.05,10,8.3%,110.6,0.110986,0.0,6.0%,0.0%
0,False,0.05,0.05,11,3.8%,105.5,0.140503,0.0,0.0%,0.0%
0,False,0.05,0.05,14,7.0%,104.4,0.18345,0.0,2.5%,0.0%
0,False,0.05,0.05,13,7.9%,107.5,0.199169,0.0,4.5%,0.0%
0,False,0.05,0.05,12,7.1%,110.7,0.197468,0.0,5.7%,0.0%
0,False,0.05,0.05,11,6.1%,109.9,0.193594,0.0,4.7%,0.0%
0,False,0.05,0.05,3,8.1%,106.1,0.209342,0.0,4.6%,0.0%
0,False,0.05,0.05,4,10.5%,110.2,0.191434,0.0,9.1%,0.0%
0,False,0.05,0.05,5,3.5%,107.2,0.20803,0.0,0.0%,0.0%
0,False,0.05,0.05,6,3.5%,107.3,0.185602,0.0,0.0%,0.0%
0,False,0.05,0.05,7,6.1%,108.1,0.210725,0.0,4.7%,0.0%
0,False,0.05,0.05,8,8.0%,110.8,0.202051,0.0,6.2%,0.0%
0,False,0.05,0.05,9,8.8%,107.2,0.190286,0.0,4.8%,0.0%
0,False,0.05,0.05,10,8.1%,110.5,0.194477,0.0,6.3%,0.0%
0,False,0.05,0.05,12,8.1%,107.6,0.117164,0.0,4.0%,0.0%
0,False,0.05,0.05,1,2.8%,108.3,0.169037,0.0,1.3%,0.0%
0,False,0.05,0.05,3,6.1%,108.0,0.180894,0.0,4.7%,0.0%
0,False,0.05,0.05,4,4.4%,105.0,0.204212,0.0,0.3%,0.0%
0,False,0.05,0.05,5,6.1%,107.5,0.185342,0.0,4.7%,0.0%
0,False,0.05,0.05,6,11.4%,110.2,0.197272,0.0,9.6%,0.0%
