lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
5,False,0.05,0.05,1,1.8%,104.9,0.436853,0.001795,0.0%,0.0%
5,False,0.05,0.05,2,1.9%,102.8,0.423729,0.001754,0.0%,0.0%
5,False,0.05,0.05,3,3.8%,101.7,0.441562,0.001839,0.0%,0.0%
5,False,0.05,0.05,4,1.9%,114.0,0.450479,0.001786,0.0%,0.0%
5,False,0.05,0.05,5,6.8%,109.8,0.450932,0.001947,4.7%,0.0%
5,False,0.05,0.05,6,1.9%,106.1,0.403212,0.001657,0.1%,0.0%
5,False,0.05,0.05,7,1.9%,107.8,0.415912,0.001673,0.0%,0.0%
5,False,0.05,0.05,8,1.9%,100.8,0.405184,0.001665,0.0%,0.0%
5,False,0.05,0.05,9,2.0%,102.1,0.411625,0.001559,0.1%,0.0%
5,False,0.05,0.05,10,1.7%,105.6,0.421084,0.001634,0.0%,0.0%
