lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
5,False,0.05,0,1,1.1%,101.5,0.154721,0.000000,0.0%,0.0%
5,False,0.05,0,2,1.1%,101.5,0.160399,0.000000,0.0%,0.0%
5,False,0.05,0,3,1.1%,101.5,0.166394,0.000000,0.0%,0.0%
5,False,0.05,0,4,1.1%,101.5,0.154413,0.000000,0.0%,0.0%
5,False,0.05,0,5,1.1%,101.5,0.165462,0.000000,0.0%,0.0%
5,False,0.05,0,6,1.1%,101.5,0.175259,0.000000,0.0%,0.0%
5,False,0.05,0,7,1.1%,101.5,0.153212,0.000000,0.0%,0.0%
5,False,0.05,0,8,1.2%,101.5,0.149648,0.000000,0.0%,0.0%
5,False,0.05,0,9,1.1%,101.5,0.149278,0.000000,0.0%,0.0%
5,False,0.05,0,10,1.1%,101.5,0.160594,0.000000,0.0%,0.0%
5,False,0.05,0.01,1,1.6%,101.8,0.371728,0.000800,0.0%,0.0%
5,False,0.05,0.01,2,1.7%,102.0,0.327706,0.001159,0.0%,0.0%
5,False,0.05,0.01,3,1.5%,101.8,0.331487,0.001264,0.0%,0.0%
5,False,0.05,0.01,4,1.5%,101.8,0.347789,0.001166,0.0%,0.0%
5,False,0.05,0.01,5,1.7%,102.0,0.359682,0.001067,0.0%,0.0%
5,False,0.05,0.01,6,1.6%,101.8,0.374129,0.000830,0.0%,0.0%
5,False,0.05,0.01,7,1.6%,101.8,0.352297,0.001062,0.0%,0.0%
5,False,0.05,0.01,8,1.7%,102.0,0.363184,0.001171,0.0%,0.0%
5,False,0.05,0.01,9,1.6%,101.9,0.367874,0.001213,0.0%,0.0%
5,False,0.05,0.01,10,1.5%,101.8,0.342753,0.001128,0.0%,0.0%
5,False,0.05,0.05,1,3.9%,111.0,0.725851,0.007254,0.0%,0.0%
5,False,0.05,0.05,2,6.4%,114.9,0.726945,0.008133,2.5%,0.0%
5,False,0.05,0.05,3,6.2%,114.2,0.743283,0.007873,2.4%,0.0%
5,False,0.05,0.05,4,4.6%,115.2,0.764811,0.007760,0.7%,0.0%
5,False,0.05,0.05,5,6.8%,117.5,0.701182,0.007103,2.9%,0.0%
5,False,0.05,0.05,6,4.0%,111.5,0.734879,0.007384,0.0%,0.0%
5,False,0.05,0.05,7,4.6%,116.3,0.721685,0.007838,0.7%,0.0%
5,False,0.05,0.05,8,6.2%,114.4,0.752343,0.007359,2.4%,0.0%
5,False,0.05,0.05,9,4.2%,112.5,0.753004,0.008131,0.0%,0.0%
5,False,0.05,0.05,10,7.1%,118.2,0.704668,0.007965,3.1%,0.0%
