lofi_n,load_awareness,lofi_delta,link_failure_rate,test,drop_rate,delay,throughput,control_overhead,ttl_rate,no_entry_rate
5,False,0.05,0.05,1,4.1%,112.7,0.740869,0.007083,0.0%,0.0%
5,False,0.05,0.05,2,6.3%,118.9,0.738146,0.007436,1.8%,0.0%
5,False,0.05,0.05,3,4.8%,115.9,0.721470,0.007678,0.9%,0.0%
5,False,0.05,0.05,4,4.4%,112.3,0.743709,0.008258,0.0%,0.0%
5,False,0.05,0.05,5,4.0%,111.6,0.737706,0.007771,0.0%,0.0%
5,False,0.05,0.05,6,6.9%,116.9,0.753971,0.007488,2.9%,0.0%
5,False,0.05,0.05,7,6.3%,115.6,0.722965,0.007514,2.1%,0.0%
5,False,0.05,0.05,8,5.1%,113.4,0.732963,0.007473,1.4%,0.0%
5,False,0.05,0.05,9,4.7%,114.4,0.746356,0.008140,0.8%,0.0%
5,False,0.05,0.05,10,4.1%,111.7,0.728634,0.007813,0.0%,0.0%
5,False,0.05,0.05,11,4.0%,112.0,0.736474,0.008026,0.0%,0.0%
5,False,0.05,0.05,12,6.8%,117.9,0.749217,0.007300,3.0%,0.0%
5,False,0.05,0.05,13,6.4%,114.7,0.731119,0.007466,2.2%,0.0%
5,False,0.05,0.05,14,9.2%,112.0,0.708081,0.007743,4.9%,0.0%
5,False,0.05,0.05,15,6.3%,115.4,0.728903,0.007482,2.2%,0.0%
5,False,0.05,0.05,16,4.7%,114.0,0.718682,0.007823,0.7%,0.0%
5,False,0.05,0.05,17,4.2%,112.3,0.711422,0.007615,0.0%,0.0%
5,False,0.05,0.05,18,11.2%,115.3,0.733007,0.007228,7.2%,0.0%
5,False,0.05,0.05,19,4.1%,112.4,0.738022,0.007750,0.0%,0.0%
5,False,0.05,0.05,20,4.5%,112.8,0.733214,0.007952,0.0%,0.0%
5,False,0.05,0.05,21,9.6%,115.7,0.768167,0.008051,5.7%,0.0%
5,False,0.05,0.05,22,8.8%,112.4,0.700779,0.007003,4.8%,0.0%
5,False,0.05,0.05,23,7.8%,112.0,0.725887,0.007355,3.0%,0.0%
5,False,0.05,0.05,24,4.2%,111.4,0.740094,0.007519,0.0%,0.0%
5,False,0.05,0.05,25,5.0%,116.4,0.740187,0.007443,0.6%,0.0%
5,False,0.05,0.05,26,7.2%,117.9,0.727754,0.007338,2.9%,0.0%
5,False,0.05,0.05,27,4.2%,111.6,0.686619,0.007283,0.0%,0.0%
5,False,0.05,0.05,28,4.1%,111.8,0.713721,0.006847,0.0%,0.0%
5,False,0.05,0.05,29,4.2%,112.0,0.725652,0.007630,0.0%,0.0%
5,False,0.05,0.05,30,11.4%,115.9,0.734404,0.007439,7.2%,0.0%
5,False,0.05,0.05,31,4.1%,113.5,0.731293,0.007663,0.0%,0.0%
5,False,0.05,0.05,32,4.4%,112.2,0.716499,0.007249,0.0%,0.0%
5,False,0.05,0.05,33,4.6%,111.8,0.738345,0.007706,0.2%,0.0%
5,False,0.05,0.05,34,6.3%,115.8,0.732068,0.007296,2.3%,0.0%
5,False,0.05,0.05,35,4.0%,111.3,0.743679,0.007416,0.0%,0.0%
5,False,0.05,0.05,36,7.5%,118.2,0.675994,0.007503,3.1%,0.0%
5,False,0.05,0.05,37,6.2%,113.9,0.710917,0.007641,2.2%,0.0%
5,False,0.05,0.05,38,4.0%,111.7,0.731250,0.008207,0.0%,0.0%
5,False,0.05,0.05,39,9.3%,112.0,0.763322,0.008325,4.9%,0.0%
5,False,0.05,0.05,40,6.9%,117.8,0.717330,0.007608,2.9%,0.0%
5,False,0.05,0.05,41,6.1%,114.4,0.719687,0.007060,2.2%,0.0%
5,False,0.05,0.05,42,4.0%,112.0,0.754868,0.007570,0.0%,0.0%
5,False,0.05,0.05,43,7.7%,120.8,0.727515,0.007568,3.8%,0.0%
5,False,0.05,0.05,44,7.4%,121.2,0.722611,0.006886,3.5%,0.0%
5,False,0.05,0.05,45,4.0%,112.5,0.725836,0.007204,0.0%,0.0%
5,False,0.05,0.05,46,11.1%,114.7,0.728533,0.007580,6.9%,0.0%
5,False,0.05,0.05,47,8.3%,116.0,0.702444,0.007768,3.6%,0.0%
5,False,0.05,0.05,48,4.2%,111.8,0.723036,0.007213,0.0%,0.0%
5,False,0.05,0.05,49,5.4%,118.9,0.771233,0.007904,1.4%,0.0%
5,False,0.05,0.05,50,6.2%,115.1,0.713122,0.006796,1.8%,0.0%
5,False,0.05,0.05,51,4.8%,115.9,0.744985,0.007431,0.6%,0.0%
5,False,0.05,0.05,52,8.0%,115.5,0.716066,0.007688,3.3%,0.0%
5,False,0.05,0.05,53,4.0%,111.7,0.718160,0.007663,0.0%,0.0%
5,False,0.05,0.05,54,6.7%,115.5,0.722756,0.007275,2.4%,0.0%
