
2024/06/27 10:32:10 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:10.872799060, finished routing table calculation, elapsed 1493780ns,840144ns
2024/06/27 10:32:14 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:14.498893974, finished routing table calculation, elapsed 2121235ns,1181563ns
2024/06/27 10:32:15 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:15.883750647, finished routing table calculation, elapsed 862818ns,508304ns
2024/06/27 10:32:16 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:16.984578494, finished routing table calculation, elapsed 1955561ns,1004313ns
2024/06/27 10:32:17 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:17.44614081, finished routing table calculation, elapsed 1309943ns,735074ns
2024/06/27 10:32:20 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:20.888458899, finished routing table calculation, elapsed 1113533ns,623444ns
2024/06/27 10:32:23 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:23.873240784, finished routing table calculation, elapsed 1048138ns,591299ns
2024/06/27 10:32:25 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:25.894418413, finished routing table calculation, elapsed 873696ns,518492ns
2024/06/27 10:32:26 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:26.983049659, finished routing table calculation, elapsed 1063275ns,594671ns
2024/06/27 10:32:27 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:27.44206220, finished routing table calculation, elapsed 1882728ns,960524ns
2024/06/27 10:32:30 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:30.895966191, finished routing table calculation, elapsed 1923757ns,1000757ns
2024/06/27 10:32:33 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:33.885583574, finished routing table calculation, elapsed 1948500ns,989744ns
2024/06/27 10:32:35 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:35.902075492, finished routing table calculation, elapsed 2149705ns,1081022ns
2024/06/27 10:32:36 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:36.986987803, finished routing table calculation, elapsed 2040781ns,1069905ns
2024/06/27 10:32:37 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:37.46447451, finished routing table calculation, elapsed 2154394ns,1154150ns
2024/06/27 10:32:40 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:40.908035353, finished routing table calculation, elapsed 1964484ns,1018542ns
2024/06/27 10:32:43 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:43.893338985, finished routing table calculation, elapsed 1047888ns,592324ns
2024/06/27 10:32:45 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:45.915647668, finished routing table calculation, elapsed 1928494ns,998074ns
2024/06/27 10:32:46 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:46.985645106, finished routing table calculation, elapsed 1955753ns,992040ns
2024/06/27 10:32:47 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:47.51845944, finished routing table calculation, elapsed 1830292ns,909018ns
2024/06/27 10:32:50 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:50.921078680, finished routing table calculation, elapsed 1959217ns,999790ns
2024/06/27 10:32:53 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:53.907126350, finished routing table calculation, elapsed 1679445ns,1036451ns
2024/06/27 10:32:55 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:55.926872481, finished routing table calculation, elapsed 2008517ns,1054912ns
2024/06/27 10:32:56 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:56.983449657, finished routing table calculation, elapsed 2280164ns,1075933ns
2024/06/27 10:32:57 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:32:57.47561773, finished routing table calculation, elapsed 2502565ns,1176030ns
2024/06/27 10:33:00 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:00.934531184, finished routing table calculation, elapsed 1253907ns,691919ns
2024/06/27 10:33:03 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:03.919579990, finished routing table calculation, elapsed 1997091ns,1051688ns
2024/06/27 10:33:05 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:05.936712467, finished routing table calculation, elapsed 1950837ns,998535ns
2024/06/27 10:33:06 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:06.986655751, finished routing table calculation, elapsed 1274898ns,778333ns
2024/06/27 10:33:07 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:07.49381093, finished routing table calculation, elapsed 1188717ns,730666ns
2024/06/27 10:33:10 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:10.938425823, finished routing table calculation, elapsed 1269851ns,698002ns
2024/06/27 10:33:13 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:13.934832165, finished routing table calculation, elapsed 1995504ns,1054914ns
2024/06/27 10:33:15 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:15.951135390, finished routing table calculation, elapsed 2008931ns,1075929ns
2024/06/27 10:33:16 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:16.987242793, finished routing table calculation, elapsed 1994957ns,1032523ns
2024/06/27 10:33:17 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:17.51934306, finished routing table calculation, elapsed 1865022ns,944300ns
2024/06/27 10:33:20 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:20.959232112, finished routing table calculation, elapsed 1742368ns,937823ns
2024/06/27 10:33:23 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:23.942812423, finished routing table calculation, elapsed 1962400ns,1028994ns
2024/06/27 10:33:25 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:25.958566502, finished routing table calculation, elapsed 2606911ns,1518211ns
2024/06/27 10:33:26 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:26.987694511, finished routing table calculation, elapsed 2346847ns,1084567ns
2024/06/27 10:33:27 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:27.49260147, finished routing table calculation, elapsed 1066532ns,587870ns
2024/06/27 10:33:30 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:30.971083677, finished routing table calculation, elapsed 2153911ns,1203337ns
2024/06/27 10:33:33 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:33.958969994, finished routing table calculation, elapsed 2010498ns,1063836ns
2024/06/27 10:33:35 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-27 10:33:35.979165566, finished routing table calculation, elapsed 1059226ns,589008ns
