
2024/06/27 17:36:41 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:41.10639627, finished routing table calculation, elapsed 1487239ns,14060ns
2024/06/27 17:36:43 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:43.969529432, finished routing table calculation, elapsed 1583773ns,15551ns
2024/06/27 17:36:46 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:46.21616788, finished routing table calculation, elapsed 1691982ns,14820ns
2024/06/27 17:36:46 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:46.651344219, finished routing table calculation, elapsed 1542363ns,13194ns
2024/06/27 17:36:46 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:46.714591820, finished routing table calculation, elapsed 929401ns,9239ns
2024/06/27 17:36:51 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:51.24315217, finished routing table calculation, elapsed 1696275ns,14888ns
2024/06/27 17:36:54 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:54.17674038, finished routing table calculation, elapsed 1611368ns,14951ns
2024/06/27 17:36:56 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:56.32431898, finished routing table calculation, elapsed 1564806ns,14692ns
2024/06/27 17:36:56 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:56.656997710, finished routing table calculation, elapsed 841848ns,7688ns
2024/06/27 17:36:56 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:36:56.717315051, finished routing table calculation, elapsed 1246492ns,13023ns
2024/06/27 17:37:01 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:01.44398598, finished routing table calculation, elapsed 825975ns,7298ns
2024/06/27 17:37:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-27 17:37:04.26133877, finished routing table calculation, elapsed 1396107ns,14074ns
