
2024/06/27 09:47:59 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:47:59.315827976, finished routing table calculation, elapsed 2489141ns,1758804ns
2024/06/27 09:48:03 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:03.263065807, finished routing table calculation, elapsed 4584232ns,2593605ns
2024/06/27 09:48:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:04.327396352, finished routing table calculation, elapsed 2654649ns,1711400ns
2024/06/27 09:48:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:04.951441690, finished routing table calculation, elapsed 1311006ns,852920ns
2024/06/27 09:48:05 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:05.21847688, finished routing table calculation, elapsed 1558689ns,714170ns
2024/06/27 09:48:09 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:09.327349771, finished routing table calculation, elapsed 2693648ns,1740145ns
2024/06/27 09:48:12 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:12.314801616, finished routing table calculation, elapsed 2498760ns,1537390ns
2024/06/27 09:48:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:14.334844825, finished routing table calculation, elapsed 1534195ns,960568ns
2024/06/27 09:48:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:14.957499730, finished routing table calculation, elapsed 1311820ns,851945ns
2024/06/27 09:48:15 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:15.20357309, finished routing table calculation, elapsed 1267154ns,807408ns
2024/06/27 09:48:19 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:19.333456711, finished routing table calculation, elapsed 1858436ns,1269226ns
2024/06/27 09:48:22 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:22.326095086, finished routing table calculation, elapsed 1841302ns,1100785ns
2024/06/27 09:48:24 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:24.351135700, finished routing table calculation, elapsed 2599388ns,2028730ns
2024/06/27 09:48:24 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:24.953731073, finished routing table calculation, elapsed 1328372ns,839362ns
2024/06/27 09:48:25 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:25.21950038, finished routing table calculation, elapsed 1556975ns,926558ns
2024/06/27 09:48:29 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:29.343191774, finished routing table calculation, elapsed 2829008ns,1852575ns
2024/06/27 09:48:32 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:32.334287466, finished routing table calculation, elapsed 2767765ns,1850806ns
2024/06/27 09:48:34 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:34.350587111, finished routing table calculation, elapsed 2799194ns,1606860ns
2024/06/27 09:48:34 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:34.956798693, finished routing table calculation, elapsed 2535494ns,1583586ns
2024/06/27 09:48:35 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:35.23772286, finished routing table calculation, elapsed 1302997ns,840072ns
2024/06/27 09:48:39 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:39.356968109, finished routing table calculation, elapsed 1798792ns,1240378ns
2024/06/27 09:48:42 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:42.343204523, finished routing table calculation, elapsed 1667592ns,1020102ns
2024/06/27 09:48:44 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:44.362518038, finished routing table calculation, elapsed 1547819ns,970067ns
2024/06/27 09:48:44 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:44.961174028, finished routing table calculation, elapsed 1304779ns,838483ns
2024/06/27 09:48:45 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:45.21090324, finished routing table calculation, elapsed 2246511ns,1383658ns
2024/06/27 09:48:49 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:49.368339130, finished routing table calculation, elapsed 1244108ns,794201ns
2024/06/27 09:48:52 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:52.350722656, finished routing table calculation, elapsed 2502574ns,1556132ns
2024/06/27 09:48:54 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:54.373068559, finished routing table calculation, elapsed 1468599ns,847690ns
2024/06/27 09:48:54 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:54.959754502, finished routing table calculation, elapsed 2625808ns,1685417ns
2024/06/27 09:48:55 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:55.21917038, finished routing table calculation, elapsed 1264920ns,703102ns
2024/06/27 09:48:59 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:48:59.374310948, finished routing table calculation, elapsed 2132790ns,1672016ns
2024/06/27 09:49:02 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:02.363082287, finished routing table calculation, elapsed 1295161ns,836543ns
2024/06/27 09:49:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:04.383895495, finished routing table calculation, elapsed 2954964ns,1623409ns
2024/06/27 09:49:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:04.964514754, finished routing table calculation, elapsed 2653087ns,2158013ns
2024/06/27 09:49:05 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:05.20201747, finished routing table calculation, elapsed 1705895ns,1035876ns
2024/06/27 09:49:09 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:09.391578603, finished routing table calculation, elapsed 2634558ns,1732471ns
2024/06/27 09:49:12 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:12.374311428, finished routing table calculation, elapsed 1027467ns,686893ns
2024/06/27 09:49:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:14.388924994, finished routing table calculation, elapsed 1226604ns,772779ns
2024/06/27 09:49:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:14.961913402, finished routing table calculation, elapsed 2047250ns,1183849ns
2024/06/27 09:49:15 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:15.22634910, finished routing table calculation, elapsed 1171233ns,728081ns
2024/06/27 09:49:19 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:19.394762320, finished routing table calculation, elapsed 1291342ns,833161ns
2024/06/27 09:49:22 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:22.388025160, finished routing table calculation, elapsed 2653485ns,1695262ns
2024/06/27 09:49:24 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:24.406162255, finished routing table calculation, elapsed 2921630ns,1677061ns
2024/06/27 09:49:24 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:24.961835120, finished routing table calculation, elapsed 1996057ns,1160276ns
2024/06/27 09:49:25 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:25.26435408, finished routing table calculation, elapsed 1822551ns,1060067ns
2024/06/27 09:49:29 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:29.410735018, finished routing table calculation, elapsed 2945437ns,1982582ns
2024/06/27 09:49:32 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:32.392270242, finished routing table calculation, elapsed 1230392ns,774103ns
2024/06/27 09:49:34 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:34.417977068, finished routing table calculation, elapsed 2508427ns,1520983ns
2024/06/27 09:49:34 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:34.970476947, finished routing table calculation, elapsed 4086914ns,2329861ns
2024/06/27 09:49:35 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate    2024-06-27 09:49:35.31468474, finished routing table calculation, elapsed 2543485ns,1590995ns
