
2024/06/26 19:19:46 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:46.820769556, finished routing table calculation, elapsed 2308634ns,1086064ns
2024/06/26 19:19:50 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:50.126592192, finished routing table calculation, elapsed 8653173ns,6508311ns
2024/06/26 19:19:51 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:51.821632676, finished routing table calculation, elapsed 2540084ns,1312082ns
2024/06/26 19:19:52 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:52.786790743, finished routing table calculation, elapsed 4477272ns,1846436ns
2024/06/26 19:19:52 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:52.908745376, finished routing table calculation, elapsed 2195275ns,1047281ns
2024/06/26 19:19:56 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:56.828864551, finished routing table calculation, elapsed 2228855ns,1062947ns
2024/06/26 19:19:59 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:19:59.824581341, finished routing table calculation, elapsed 1774722ns,865127ns
2024/06/26 19:20:01 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:01.833813913, finished routing table calculation, elapsed 2420751ns,1208718ns
2024/06/26 19:20:02 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:02.784389618, finished routing table calculation, elapsed 2090782ns,1053562ns
2024/06/26 19:20:02 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:02.914273670, finished routing table calculation, elapsed 2280247ns,1042342ns
2024/06/26 19:20:06 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:06.835930114, finished routing table calculation, elapsed 2569838ns,1308766ns
2024/06/26 19:20:09 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:09.826237902, finished routing table calculation, elapsed 2445461ns,1205225ns
2024/06/26 19:20:11 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:11.840156292, finished routing table calculation, elapsed 1150541ns,684700ns
2024/06/26 19:20:12 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:12.786316389, finished routing table calculation, elapsed 2123069ns,1211543ns
2024/06/26 19:20:12 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:12.910400653, finished routing table calculation, elapsed 1443192ns,699407ns
2024/06/26 19:20:16 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:16.843925775, finished routing table calculation, elapsed 1307952ns,731075ns
2024/06/26 19:20:19 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:19.837592711, finished routing table calculation, elapsed 1367961ns,772859ns
2024/06/26 19:20:21 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:21.855895361, finished routing table calculation, elapsed 2257736ns,1106438ns
2024/06/26 19:20:22 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:22.786035022, finished routing table calculation, elapsed 2018928ns,1176135ns
2024/06/26 19:20:22 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:22.907229861, finished routing table calculation, elapsed 1405968ns,790582ns
2024/06/26 19:20:26 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:26.863410245, finished routing table calculation, elapsed 4385874ns,2046104ns
2024/06/26 19:20:29 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:29.851267003, finished routing table calculation, elapsed 2570723ns,1305840ns
2024/06/26 19:20:31 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:31.864613957, finished routing table calculation, elapsed 3766768ns,1773663ns
2024/06/26 19:20:32 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:32.785134663, finished routing table calculation, elapsed 2373275ns,1199483ns
2024/06/26 19:20:32 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:32.908176970, finished routing table calculation, elapsed 1058588ns,509954ns
2024/06/26 19:20:36 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:36.867058639, finished routing table calculation, elapsed 1210993ns,744128ns
2024/06/26 19:20:39 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:39.862985360, finished routing table calculation, elapsed 2046123ns,1020057ns
2024/06/26 19:20:41 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:41.867405263, finished routing table calculation, elapsed 1132589ns,657708ns
2024/06/26 19:20:42 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:42.787073704, finished routing table calculation, elapsed 1991752ns,1045115ns
2024/06/26 19:20:42 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:42.910759326, finished routing table calculation, elapsed 1699086ns,688826ns
2024/06/26 19:20:46 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:46.878993389, finished routing table calculation, elapsed 3017400ns,1481177ns
2024/06/26 19:20:49 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:49.870524869, finished routing table calculation, elapsed 2821171ns,1135527ns
2024/06/26 19:20:51 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:51.876655038, finished routing table calculation, elapsed 2650439ns,1426899ns
2024/06/26 19:20:52 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:52.789618789, finished routing table calculation, elapsed 1391063ns,792393ns
2024/06/26 19:20:52 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:52.910057141, finished routing table calculation, elapsed 2210797ns,1048657ns
2024/06/26 19:20:56 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:56.888612115, finished routing table calculation, elapsed 1835789ns,1127587ns
2024/06/26 19:20:59 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:20:59.876849095, finished routing table calculation, elapsed 2623086ns,1438440ns
2024/06/26 19:21:01 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:01.886977806, finished routing table calculation, elapsed 1374768ns,789240ns
2024/06/26 19:21:02 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:02.790119090, finished routing table calculation, elapsed 2751444ns,1189396ns
2024/06/26 19:21:02 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:02.920227857, finished routing table calculation, elapsed 4359291ns,1996108ns
2024/06/26 19:21:06 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:06.893857523, finished routing table calculation, elapsed 1553820ns,787636ns
2024/06/26 19:21:09 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:09.884472201, finished routing table calculation, elapsed 1381139ns,756045ns
2024/06/26 19:21:11 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:11.905661703, finished routing table calculation, elapsed 2376430ns,1210056ns
2024/06/26 19:21:12 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:12.791583597, finished routing table calculation, elapsed 1264493ns,678402ns
2024/06/26 19:21:12 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:12.922392630, finished routing table calculation, elapsed 2232968ns,1012627ns
2024/06/26 19:21:16 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:16.902930236, finished routing table calculation, elapsed 1496438ns,883954ns
2024/06/26 19:21:19 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:19.902308575, finished routing table calculation, elapsed 2409859ns,1163990ns
2024/06/26 19:21:21 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:21.910622157, finished routing table calculation, elapsed 2482815ns,1188455ns
2024/06/26 19:21:22 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:22.789934883, finished routing table calculation, elapsed 1367169ns,763726ns
2024/06/26 19:21:22 debugging: OSPF: [TTJPM-FK1BD] bfs_spf_calculate    2024-06-26 19:21:22.912392574, finished routing table calculation, elapsed 2498377ns,1343515ns
