
2024/06/28 09:47:49 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:47:49.324110913, finished routing table calculation, elapsed 1805653ns,19276ns
2024/06/28 09:47:52 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:47:52.540196489, finished routing table calculation, elapsed 1456319ns,14215ns
2024/06/28 09:47:54 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:47:54.328377232, finished routing table calculation, elapsed 1751119ns,15150ns
2024/06/28 09:47:55 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:47:55.166084125, finished routing table calculation, elapsed 1032996ns,11603ns
2024/06/28 09:47:55 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:47:55.290457169, finished routing table calculation, elapsed 987637ns,11988ns
2024/06/28 09:47:59 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:47:59.327703267, finished routing table calculation, elapsed 861293ns,8657ns
2024/06/28 09:48:02 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:02.320035495, finished routing table calculation, elapsed 925389ns,12085ns
2024/06/28 09:48:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:04.335074725, finished routing table calculation, elapsed 1199352ns,11094ns
2024/06/28 09:48:05 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:05.169864048, finished routing table calculation, elapsed 1375928ns,13034ns
2024/06/28 09:48:05 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:05.292203046, finished routing table calculation, elapsed 1184094ns,12634ns
2024/06/28 09:48:09 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:09.337952423, finished routing table calculation, elapsed 1396727ns,13317ns
2024/06/28 09:48:12 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:12.326794255, finished routing table calculation, elapsed 1539550ns,14342ns
2024/06/28 09:48:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:14.348412522, finished routing table calculation, elapsed 1550376ns,19496ns
2024/06/28 09:48:15 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:15.168221210, finished routing table calculation, elapsed 1605702ns,14280ns
2024/06/28 09:48:15 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:15.292647847, finished routing table calculation, elapsed 1246063ns,13577ns
2024/06/28 09:48:19 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:19.342715222, finished routing table calculation, elapsed 1541621ns,15197ns
2024/06/28 09:48:22 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:22.340866480, finished routing table calculation, elapsed 890213ns,9071ns
2024/06/28 09:48:24 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:24.348825840, finished routing table calculation, elapsed 1369220ns,14136ns
2024/06/28 09:48:25 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:25.168265155, finished routing table calculation, elapsed 819371ns,8413ns
2024/06/28 09:48:25 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:25.290379632, finished routing table calculation, elapsed 1954321ns,20140ns
2024/06/28 09:48:29 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:29.352962333, finished routing table calculation, elapsed 808704ns,7990ns
2024/06/28 09:48:32 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:32.345778169, finished routing table calculation, elapsed 839553ns,9747ns
2024/06/28 09:48:34 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:34.360226703, finished routing table calculation, elapsed 1139467ns,11897ns
2024/06/28 09:48:35 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:35.172193153, finished routing table calculation, elapsed 1401045ns,54690ns
2024/06/28 09:48:35 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:35.296404943, finished routing table calculation, elapsed 944775ns,12303ns
2024/06/28 09:48:39 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:39.368408160, finished routing table calculation, elapsed 1379622ns,13570ns
2024/06/28 09:48:42 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:42.358498901, finished routing table calculation, elapsed 1367126ns,13490ns
2024/06/28 09:48:44 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:44.373139024, finished routing table calculation, elapsed 1384344ns,13733ns
2024/06/28 09:48:45 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:45.171736654, finished routing table calculation, elapsed 820795ns,7979ns
2024/06/28 09:48:45 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:45.291873465, finished routing table calculation, elapsed 1296065ns,12842ns
2024/06/28 09:48:49 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:49.383056351, finished routing table calculation, elapsed 1455750ns,14442ns
2024/06/28 09:48:52 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:52.367801241, finished routing table calculation, elapsed 967508ns,7789ns
2024/06/28 09:48:54 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:54.381627455, finished routing table calculation, elapsed 671453ns,6635ns
2024/06/28 09:48:55 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:55.174257116, finished routing table calculation, elapsed 1373218ns,10185ns
2024/06/28 09:48:55 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:55.294455999, finished routing table calculation, elapsed 610049ns,7524ns
2024/06/28 09:48:59 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:48:59.391773270, finished routing table calculation, elapsed 1161370ns,9709ns
2024/06/28 09:49:02 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:02.380048037, finished routing table calculation, elapsed 1433255ns,13246ns
2024/06/28 09:49:04 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:04.395407102, finished routing table calculation, elapsed 1470143ns,14696ns
2024/06/28 09:49:05 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:05.176996556, finished routing table calculation, elapsed 715120ns,6417ns
2024/06/28 09:49:05 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:05.300226157, finished routing table calculation, elapsed 490900ns,6425ns
2024/06/28 09:49:09 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:09.405201948, finished routing table calculation, elapsed 2016388ns,17791ns
2024/06/28 09:49:12 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:12.391937989, finished routing table calculation, elapsed 1545002ns,13856ns
2024/06/28 09:49:14 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:14.408623988, finished routing table calculation, elapsed 1381453ns,13842ns
2024/06/28 09:49:15 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:15.171816402, finished routing table calculation, elapsed 1595144ns,20791ns
2024/06/28 09:49:15 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:15.303331404, finished routing table calculation, elapsed 1268393ns,15344ns
2024/06/28 09:49:19 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:19.417385668, finished routing table calculation, elapsed 1402626ns,13882ns
2024/06/28 09:49:22 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:22.409804805, finished routing table calculation, elapsed 2124244ns,19086ns
2024/06/28 09:49:24 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:24.418316822, finished routing table calculation, elapsed 685984ns,8668ns
2024/06/28 09:49:25 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:25.177258767, finished routing table calculation, elapsed 1425760ns,13723ns
2024/06/28 09:49:25 debugging: OSPF: [TTJPM-FK1BD] ospf_spf_calculate_rule    2024-06-28 09:49:25.299522256, finished routing table calculation, elapsed 1503685ns,20642ns
