protocol,execution_time,pure_calculation_time
node-rule-bfs,669793ns,349330ns
node-rule-bfs,1034962ns,507197ns
node-rule-bfs,389446ns,228934ns
node-rule-bfs,798015ns,468515ns
node-rule-bfs,458552ns,223941ns
node-rule-bfs,1274096ns,961041ns
node-rule-bfs,346440ns,189949ns
node-rule-bfs,350164ns,189279ns
node-rule-bfs,306342ns,161558ns
node-rule-bfs,262258ns,147408ns
node-rule-bfs,666076ns,349212ns
node-rule-bfs,702714ns,368844ns
node-rule-bfs,529422ns,287915ns
node-rule-bfs,751492ns,435343ns
node-rule-bfs,331591ns,180914ns
node-rule-bfs,682201ns,362372ns
node-rule-bfs,670570ns,361958ns
node-rule-bfs,340369ns,213008ns
node-rule-bfs,700148ns,359378ns
node-rule-bfs,497150ns,248854ns
node-rule-bfs,377880ns,218370ns
node-rule-bfs,624244ns,312542ns
node-rule-bfs,672900ns,354280ns
node-rule-bfs,323328ns,200035ns
node-rule-bfs,613254ns,353587ns
node-rule-bfs,751975ns,438534ns
node-rule-bfs,934506ns,456674ns
node-rule-bfs,366627ns,198152ns
node-rule-bfs,356906ns,198968ns
node-rule-bfs,539039ns,256903ns
node-rule-bfs,371739ns,208044ns
node-rule-bfs,359360ns,205543ns
node-rule-bfs,351489ns,193186ns
node-rule-bfs,356160ns,201107ns
node-rule-bfs,364668ns,184587ns
node-rule-bfs,362204ns,201493ns
node-rule-bfs,386149ns,221420ns
node-rule-bfs,659652ns,348914ns
node-rule-bfs,637028ns,325866ns
node-rule-bfs,459000ns,224458ns
node-rule-bfs,350041ns,194823ns
node-rule-bfs,362029ns,199151ns
node-rule-bfs,640943ns,326718ns
node-rule-bfs,363592ns,198995ns
node-rule-bfs,600771ns,294304ns
node-rule-bfs,648058ns,320429ns
node-rule-bfs,496941ns,262566ns
node-rule-bfs,635575ns,322237ns
node-rule-bfs,344899ns,188284ns
node-rule-bfs,574767ns,292763ns
comment,monitor node_2_3 and change eth1 of node_3_7,0



